"portal","geo","month","NormalizedSI","pctTot"
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",1,0.780779398130868,0.065064949844239
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",2,0.942876339004622,0.0785730282503852
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",3,0.947285893115291,0.0789404910929409
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",4,1.07425102195086,0.0895209184959048
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",5,1.26181320690012,0.10515110057501
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",6,1.37207785191984,0.11433982099332
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",7,1.53744534258886,0.128120445215739
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",8,1.44629367819213,0.120524473182678
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",9,0.942292789280555,0.078524399106713
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",10,0.656932368452313,0.0547443640376928
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",11,0.52260723599355,0.0435506029994625
"Portal - Boat Trader Online","US_NorthWest  - Geographical Area",12,0.515344874470985,0.0429454062059154
"Portal - Boat Trader Online","US_Midwest - Geographical Area",1,0.752460247550787,0.0627050206292322
"Portal - Boat Trader Online","US_Midwest - Geographical Area",2,0.904660138238248,0.0753883448531874
"Portal - Boat Trader Online","US_Midwest - Geographical Area",3,1.0164417020215,0.0847034751684582
"Portal - Boat Trader Online","US_Midwest - Geographical Area",4,1.07079638986636,0.089233032488863
"Portal - Boat Trader Online","US_Midwest - Geographical Area",5,1.28673724153118,0.107228103460931
"Portal - Boat Trader Online","US_Midwest - Geographical Area",6,1.65879827313243,0.138233189427702
"Portal - Boat Trader Online","US_Midwest - Geographical Area",7,1.60739620913775,0.133949684094813
"Portal - Boat Trader Online","US_Midwest - Geographical Area",8,1.32367520765933,0.110306267304944
"Portal - Boat Trader Online","US_Midwest - Geographical Area",9,0.937158792571245,0.0780965660476037
"Portal - Boat Trader Online","US_Midwest - Geographical Area",10,0.544825085937108,0.045402090494759
"Portal - Boat Trader Online","US_Midwest - Geographical Area",11,0.429742101564114,0.0358118417970095
"Portal - Boat Trader Online","US_Midwest - Geographical Area",12,0.467308610789962,0.0389423842324968
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",1,0.720580674137334,0.0600483895114445
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",2,0.898790534858454,0.0748992112382045
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",3,1.04587367305833,0.0871561394215277
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",4,1.16950869694098,0.0974590580784154
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",5,1.48107063388935,0.123422552824113
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",6,1.62062903766234,0.135052419805195
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",7,1.4648273652414,0.12206894710345
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",8,1.12955838683921,0.094129865569934
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",9,0.829228213204345,0.069102351100362
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",10,0.641653395035639,0.0534711162529699
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",11,0.507915611948439,0.0423263009957033
"Portal - Boat Trader Online","US_GulfCoast - Geographical Area",12,0.490363777184168,0.0408636480986806
"Portal - Boat Trader Online","US_Flordia - Geographical Area",1,0.848880777224268,0.070740064768689
"Portal - Boat Trader Online","US_Flordia - Geographical Area",2,0.868016472868149,0.0723347060723457
"Portal - Boat Trader Online","US_Flordia - Geographical Area",3,1.01768701055463,0.0848072508795528
"Portal - Boat Trader Online","US_Flordia - Geographical Area",4,1.13184686379784,0.0943205719831537
"Portal - Boat Trader Online","US_Flordia - Geographical Area",5,1.49929923619454,0.124941603016212
"Portal - Boat Trader Online","US_Flordia - Geographical Area",6,1.35496221779329,0.112913518149441
